mIron4iK	1.2164192035677452	4	4	0	0	0	2	0	0	0	0	3	75
Hatsune Miku	1.1312393066925424	10	7	12	0	582	51	0	0	0	0	46	90
$$$	3.1588639704800467	10	5	35	0	684	7	1	0	2	0	10	38
!!!	3.1994407970282643	6	4	0	0	0	19	0	0	1	0	3	41
Твоя зайка	1.9344376338199194	3	5	25	8	1525	0	0	0	0	0	3	99
_Prosto_Rasher	0.46699379424499804	3	2	0	0	0	30	0	0	0	0	0	8
楤✈Morty	0.33197848853076517	0	1	0	0	0	0	0	0	0	0	3	15
Ramil	1.7722781854971812	9	6	17	59	550	19	0	0	1	0	2	57
Doshiman(2)	1.2744972101590963	1	2	0	0	0	0	0	0	0	0	0	4
Ramil	1.7722783248667968	9	6	17	59	550	19	0	0	1	0	2	57
m0untain	4.792607754359719	13	8	34	0	873	1	2	0	1	0	31	115
Meryus  $$$$	2.6584677824583496	4	4	21	0	1133	0	0	0	0	0	37	253
iamspliteBananaU4	2.366388882979864	3	3	0	0	0	0	0	0	0	0	4	17
Meryus  $$$$	2.658467940594795	4	4	21	0	1133	0	0	0	0	0	37	253
IOAN CRENGuțăC	3.4189949018963097	11	11	34	0	1918	4	0	0	1	0	0	145
Ave Dutzu  ß	2.7264209618730963	4	4	0	0	0	0	0	0	0	0	22	150
FrAtEm!O	7.361011656765032	5	3	0	0	0	0	0	0	0	0	37	174
Spartanu	3.362218197962283	4	4	0	0	0	0	0	0	0	0	6	141
SAMSUNG	6.60468521830757	5	3	0	0	0	0	0	0	0	0	10	62
Dj Snake	3.9176238221634856	6	4	0	0	0	3	0	0	0	0	81	238
StarGOD	3.8876845717503827	4	4	10	0	1061	0	0	0	0	0	16	124
AVANTU PRABUSIREA	6.748704699867605	6	4	0	0	0	0	0	0	0	0	4	70
Ivan	4.931197294873432	8	5	0	0	0	0	0	0	0	0	3	38
👑Duzbee 🍤 VGOSkins.net	4.526835959271194	235	620	87	17	3700	25	0	0	4	0	19	506
ЕБАНЧАЙ	1.6521662369150534	12	9	26	0	859	9	0	0	1	0	30	0
QQ	2.065776681041775	3	3	0	0	0	0	0	0	0	0	2	14
ุ	3.0850414908475634	4	3	0	0	0	5	0	0	0	0	4	174
mambo_ed	3.2086727996363607	6	4	22	38	812	2	0	0	1	0	7	33
HARIMUS2018	4.361292024797863	10	6	0	0	0	5	0	0	0	0	5	149
br0ke<3	2.9012236964511486	14	8	29	69	2807	109	0	0	1	0	46	167
EmilShe1n	4.63821300909249	47	93	17	0	0	8	0	0	0	0	8	470
k4sl	4.973385086842739	25	21	81	72	9148	0	0	0	0	0	0	82
ex4mple	5.120027145321058	30	21	97	0	0	5	0	0	0	0	40	174
